time,step,actual_x,actual_y,actual_z,expected_x,expected_y,expected_z,actual_roll,actual_pitch,actual_yaw,expected_roll,expected_pitch,expected_yaw,error_x_mm,error_y_mm,error_z_mm,error_roll_deg,error_pitch_deg,error_yaw_deg,cycle_time_ms
0.000000,0,0.091299,-0.231339,0.663118,0.091299,-0.231339,0.663118,-131.338848,60.788167,49.677224,-131.338848,60.788167,49.677224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.002000,1,0.090946,-0.231336,0.663067,0.090946,-0.231336,0.663067,-131.240472,60.847480,49.736420,-131.240472,60.847480,49.736420,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.000000
0.004000,2,0.090593,-0.231335,0.663015,0.090593,-0.231335,0.663015,-131.140639,60.907533,49.796141,-131.140639,60.907533,49.796141,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.000000
0.006000,3,0.090239,-0.231334,0.662963,0.090239,-0.231334,0.662963,-131.039343,60.968325,49.856394,-131.039343,60.968325,49.856394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.008000,4,0.089886,-0.231334,0.662911,0.089886,-0.231334,0.662911,-130.936580,61.029855,49.917189,-130.936580,61.029855,49.917189,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.010000,5,0.089533,-0.231334,0.662858,0.089533,-0.231334,0.662858,-130.832345,61.092121,49.978534,-130.832345,61.092121,49.978534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.012000,6,0.089180,-0.231335,0.662805,0.089180,-0.231335,0.662805,-130.726635,61.155121,50.040438,-130.726635,61.155121,50.040438,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.000000
0.014000,7,0.088827,-0.231337,0.662751,0.088827,-0.231337,0.662751,-130.619445,61.218854,50.102911,-130.619445,61.218854,50.102911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.016000,8,0.088474,-0.231340,0.662697,0.088474,-0.231340,0.662697,-130.510771,61.283318,50.165962,-130.510771,61.283318,50.165962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.018000,9,0.088122,-0.231343,0.662643,0.088122,-0.231343,0.662643,-130.400607,61.348512,50.229601,-130.400607,61.348512,50.229601,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.000000
0.020000,10,0.087769,-0.231348,0.662588,0.087769,-0.231348,0.662588,-130.288951,61.414434,50.293837,-130.288951,61.414434,50.293837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.022000,11,0.087417,-0.231353,0.662533,0.087417,-0.231353,0.662533,-130.175798,61.481083,50.358680,-130.175798,61.481083,50.358680,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.000000
0.024000,12,0.087065,-0.231359,0.662478,0.087065,-0.231359,0.662478,-130.061144,61.548457,50.424141,-130.061144,61.548457,50.424141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.026000,13,0.086713,-0.231365,0.662423,0.086713,-0.231365,0.662423,-129.944984,61.616554,50.490229,-129.944984,61.616554,50.490229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.028000,14,0.086361,-0.231373,0.662367,0.086361,-0.231373,0.662367,-129.827315,61.685374,50.556956,-129.827315,61.685374,50.556956,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.000000
0.030000,15,0.086010,-0.231381,0.662311,0.086010,-0.231381,0.662311,-129.708133,61.754914,50.624332,-129.708133,61.754914,50.624332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
0.032000,16,0.085659,-0.231391,0.662255,0.085659,-0.231391,0.662255,-129.587433,61.825173,50.692367,-129.587433,61.825173,50.692367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000
