step,t_s,segment,status,traj_t,left_error_m,right_error_m,left_speed_mps,right_speed_mps,left_target_x_m,left_target_y_m,left_target_z_m,left_actual_x_m,left_actual_y_m,left_actual_z_m,right_target_x_m,right_target_y_m,right_target_z_m,right_actual_x_m,right_actual_y_m,right_actual_z_m,tau_00_nm,tau_01_nm,tau_02_nm,tau_03_nm,tau_04_nm,tau_05_nm,tau_06_nm,tau_07_nm,tau_08_nm,tau_09_nm,tau_10_nm,tau_11_nm,tau_12_nm,tau_13_nm,q_00_rad,q_01_rad,q_02_rad,q_03_rad,q_04_rad,q_05_rad,q_06_rad,q_07_rad,q_08_rad,q_09_rad,q_10_rad,q_11_rad,q_12_rad,q_13_rad,qd_00_rad_s,qd_01_rad_s,qd_02_rad_s,qd_03_rad_s,qd_04_rad_s,qd_05_rad_s,qd_06_rad_s,qd_07_rad_s,qd_08_rad_s,qd_09_rad_s,qd_10_rad_s,qd_11_rad_s,qd_12_rad_s,qd_13_rad_s
0,0.000000,home_hold,0,0.001000,0.000000000,0.000000001,0.000000078,0.000000969,0.071867500,0.215360776,0.012730000,0.071867500,0.215360776,0.012730000,0.163132424,-0.212337808,0.022708944,0.163132424,-0.212337807,0.022708944,0.442675799,-0.009985581,-0.000000162,-0.142621825,-0.000000005,0.008742526,-0.000000001,0.361915188,-0.035519902,-0.000003260,0.642701052,0.003177830,-0.008358654,-0.020037928,0.000000000,-0.000000000,-0.000000000,0.000000000,0.000000000,0.000000001,-0.000000000,-0.000000000,0.000000000,0.000000001,0.300000000,-0.000000000,-0.000000014,0.000000005,0.000000006,-0.000000003,-0.000000027,0.000000016,0.000000024,0.000001123,-0.000000023,-0.000000009,0.000000054,0.000001048,0.000000099,-0.000000196,-0.000014234,0.000005049
10,0.010000,home_hold,0,0.011000,0.000008572,0.000003977,0.012986600,0.011925822,0.071867500,0.215360776,0.012730000,0.071868606,0.215352389,0.012728620,0.163132424,-0.212337808,0.022708944,0.163134714,-0.212334561,0.022708768,0.415363692,0.054030164,0.038882187,-0.121671578,0.039825572,0.052508366,0.014243209,0.371687421,-0.154048964,-0.070684414,0.648343683,-0.037689598,-0.100075373,-0.022597198,-0.000000036,-0.000023515,-0.000401010,0.000003617,0.000463495,0.000170148,0.000000652,-0.000000089,-0.000005873,0.000100644,0.299999440,-0.000219389,-0.000101262,-0.000012638,-0.000228106,-0.047092905,-0.813830611,0.006284179,0.948640135,0.273832112,0.020722705,0.000133100,-0.009338100,0.200443184,-0.001733106,-0.394824967,-0.286509055,-0.016351615
20,0.020000,home_hold,0,0.021000,0.000005045,0.000006065,0.011054379,0.010235672,0.071867500,0.215360776,0.012730000,0.071868780,0.215355969,0.012729158,0.163132424,-0.212337808,0.022708944,0.163134451,-0.212332121,0.022708366,0.432145626,0.065645089,0.030721791,-0.135196963,0.031925369,0.059278488,0.004147583,0.373970746,-0.085197636,-0.046237472,0.651094782,-0.029677255,-0.052529874,-0.025083609,-0.000000109,-0.000022670,-0.000403892,0.000003937,0.000480197,0.000111954,-0.000000647,0.000000035,-0.000006227,0.000095484,0.299998798,-0.000168681,-0.000128476,-0.000016243,0.000182269,-0.048335495,-0.841760646,0.008181758,0.992049153,0.249108791,0.002968526,0.000251415,-0.008935883,0.187738534,-0.002450697,-0.335815556,-0.251972186,-0.026848439
30,0.030000,home_hold,0,0.031000,0.000005248,0.000006183,0.009980732,0.010948156,0.071867500,0.215360776,0.012730000,0.071868890,0.215355790,0.012729138,0.163132424,-0.212337808,0.022708944,0.163134243,-0.212331934,0.022708296,0.434224563,0.050418841,0.030564974,-0.136884334,0.031504125,0.049566857,0.002878411,0.375390230,-0.092074702,-0.044641585,0.652326329,-0.026666005,-0.055860953,-0.026153959,-0.000000214,-0.000022517,-0.000403344,0.000003930,0.000488586,0.000113645,-0.000001085,0.000000016,-0.000006674,0.000096831,0.299998705,-0.000153705,-0.000129171,-0.000016058,0.000254558,-0.048062761,-0.840564068,0.008485823,1.002050618,0.232088337,-0.000216928,0.000344675,-0.008795266,0.187801998,-0.002873861,-0.312928726,-0.264081445,-0.029785728
40,0.040000,home_hold,0,0.041000,0.000005407,0.000005986,0.010275379,0.010682171,0.071867500,0.215360776,0.012730000,0.071868937,0.215355639,0.012729115,0.163132424,-0.212337808,0.022708944,0.163134182,-0.212332121,0.022708316,0.434599182,0.051619570,0.032252179,-0.137269748,0.033220446,0.050165486,0.002482207,0.375636152,-0.093088392,-0.041189412,0.652656153,-0.023131074,-0.055486385,-0.026570114,-0.000000305,-0.000022578,-0.000403676,0.000003754,0.000489103,0.000116140,-0.000000353,-0.000000083,-0.000006687,0.000096573,0.299998961,-0.000155420,-0.000126162,-0.000014638,0.000284377,-0.048105412,-0.840483536,0.008586391,1.006878931,0.236643417,-0.000553031,0.000368839,-0.008823280,0.187835927,-0.002968019,-0.306493710,-0.260368668,-0.029633110
50,0.050000,home_hold,0,0.051000,0.000005305,0.000005988,0.010218621,0.010692103,0.071867500,0.215360776,0.012730000,0.071868934,0.215355744,0.012729126,0.163132424,-0.212337808,0.022708944,0.163134197,-0.212332123,0.022708317,0.434508643,0.052014299,0.032964607,-0.137235099,0.033943584,0.050330801,0.002458382,0.375404366,-0.093157081,-0.040398734,0.652494437,-0.022386563,-0.055156100,-0.026480312,-0.000000367,-0.000022630,-0.000403726,0.000003582,0.000487706,0.000115002,0.000000086,-0.000000184,-0.000006531,0.000096579,0.299999195,-0.000158151,-0.000127280,-0.000014161,0.000289495,-0.048101736,-0.840589107,0.008590600,1.007289282,0.235682188,-0.000303464,0.000364785,-0.008801416,0.187662939,-0.002933940,-0.307531397,-0.260596014,-0.029039925
60,0.060000,home_hold,0,0.061000,0.000005304,0.000005924,0.010220946,0.010698006,0.071867500,0.215360776,0.012730000,0.071868922,0.215355742,0.012729123,0.163132424,-0.212337808,0.022708944,0.163134207,-0.212332193,0.022708327,0.434419428,0.051785026,0.033025102,-0.137170875,0.034001117,0.050158834,0.002496726,0.375298042,-0.093359400,-0.040699980,0.652396211,-0.022651973,-0.055247263,-0.026391694,-0.000000413,-0.000022692,-0.000403710,0.000003448,0.000487065,0.000115487,0.000000243,-0.000000280,-0.000006379,0.000096591,0.299999382,-0.000158562,-0.000127402,-0.000014165,0.000288026,-0.048102899,-0.840610502,0.008580192,1.006790319,0.235704133,-0.000163911,0.000359509,-0.008800731,0.187657637,-0.002910760,-0.308706795,-0.260659740,-0.028890402
70,0.070000,home_hold,0,0.071000,0.000005285,0.000005884,0.010225997,0.010699280,0.071867500,0.215360776,0.012730000,0.071868915,0.215355760,0.012729123,0.163132424,-0.212337808,0.022708944,0.163134208,-0.212332234,0.022708332,0.434390855,0.051871095,0.032956073,-0.137147050,0.033933549,0.050214154,0.002515890,0.375301413,-0.093287441,-0.040857211,0.652393177,-0.022823251,-0.055225974,-0.026380497,-0.000000456,-0.000022728,-0.000403685,0.000003334,0.000486941,0.000115515,0.000000318,-0.000000374,-0.000006266,0.000096570,0.299999557,-0.000158227,-0.000127611,-0.000014173,0.000286595,-0.048102987,-0.840619032,0.008575543,1.006531417,0.235778815,-0.000137410,0.000358500,-0.008805520,0.187658080,-0.002908908,-0.308846192,-0.260627339,-0.028932071
80,0.080000,home_hold,0,0.081000,0.000005277,0.000005859,0.010224512,0.010701568,0.071867500,0.215360776,0.012730000,0.071868910,0.215355767,0.012729123,0.163132424,-0.212337808,0.022708944,0.163134207,-0.212332261,0.022708338,0.434392424,0.051837015,0.032918356,-0.137146504,0.033894667,0.050204572,0.002519066,0.375318196,-0.093256043,-0.040861206,0.652406609,-0.022829679,-0.055231012,-0.026389807,-0.000000501,-0.000022747,-0.000403662,0.000003223,0.000486952,0.000115558,0.000000391,-0.000000469,-0.000006195,0.000096551,0.299999737,-0.000158044,-0.000127735,-0.000014116,0.000285938,-0.048101305,-0.840616653,0.008574791,1.006479265,0.235747989,-0.000144829,0.000358989,-0.008809566,0.187662886,-0.002911771,-0.308721719,-0.260636106,-0.028963223
90,0.090000,home_hold,0,0.091000,0.000005274,0.000005843,0.010225181,0.010701845,0.071867500,0.215360776,0.012730000,0.071868908,0.215355770,0.012729123,0.163132424,-0.212337808,0.022708944,0.163134206,-0.212332276,0.022708344,0.434398889,0.051820921,0.032911629,-0.137150647,0.033887168,0.050204912,0.002517785,0.375322204,-0.093221443,-0.040835556,0.652410783,-0.022807529,-0.055230249,-0.026393707,-0.000000550,-0.000022758,-0.000403647,0.000003111,0.000486958,0.000115598,0.000000472,-0.000000565,-0.000006152,0.000096539,0.299999919,-0.000158013,-0.000127817,-0.000014041,0.000285697,-0.048100692,-0.840615000,0.008575017,1.006492743,0.235754112,-0.000151804,0.000359243,-0.008811701,0.187664157,-0.002912716,-0.308671475,-0.260628646,-0.028965318
